title,score,year
Cowboy Bebop,8.75,1998.0
Trigun,8.22,1998.0
Witch Hunter Robin,7.23,2002.0
Bouken Ou Beet,6.92,2004.0
Eyeshield 21,7.91,2005.0
Hachimitsu to Clover,7.98,2005.0
Hungry Heart: Wild Striker,7.54,2002.0
Initial D Fourth Stage,8.17,2004.0
Monster,8.89,2004.0
Naruto,8.02,2002.0
One Piece,8.73,1999.0
Tennis no Oujisama,7.84,2001.0
Ring ni Kakero 1,6.35,2004.0
School Rumble,7.88,2004.0
Sunabouzu,7.36,2004.0
Texhnolyze,7.75,2003.0
Trinity Blood,7.28,2005.0
Yakitate!! Japan,7.91,2004.0
Zipang,7.49,2004.0
Shinseiki Evangelion,8.36,1995.0
Kenpuu Denki Berserk,8.61,1997.0
Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,1996.0
.hack//Sign,6.94,2002.0
Aa! Megami-sama! (TV),7.31,2005.0
Kidou Tenshi Angelic Layer,7.26,2001.0
Ai Yori Aoshi,7.1,2002.0
Arc the Lad,6.48,1999.0
Avenger,5.85,2003.0
Beck,8.29,2004.0
Blue Gender,7.01,1999.0
Chobits,7.39,2002.0
Chrno Crusade,7.59,2003.0
D.N.Angel,7.15,2003.0
D.C.: Da Capo,6.7,2003.0
DearS,6.54,2004.0
Rozen Maiden,7.4,2004.0
Rozen Maiden: Träumend,7.61,2005.0
Azumanga Daiou The Animation,8.07,2002.0
Basilisk: Kouga Ninpou Chou,7.53,2005.0
Black Cat,7.31,2005.0
Cluster Edge,6.3,2005.0
Full Metal Panic!,7.59,2002.0
Full Metal Panic? Fumoffu,8.02,2003.0
Full Metal Panic! The Second Raid,7.91,2005.0
Gakuen Alice,7.64,2004.0
Soukyuu no Fafner: Dead Aggressor,7.25,2004.0
Mahou Shoujo Lyrical Nanoha,7.41,2004.0
Mahou Shoujo Lyrical Nanoha A's,7.95,2005.0
Shuffle!,7.0,2005.0
Kidou Senshi Gundam,7.77,1979.0
Kidou Senshi Zeta Gundam,7.89,1985.0
Kidou Senshi Gundam ZZ,6.68,1986.0
Kidou Senshi Victory Gundam,6.71,1993.0
Shin Kidou Senki Gundam Wing,7.66,1995.0
Kidou Shinseiki Gundam X,7.34,1996.0
Kidou Senshi Gundam SEED,7.73,2002.0
Kidou Senshi Gundam SEED Destiny,7.17,2004.0
Turn A Gundam,7.8,1999.0
Kidou Butouden G Gundam,7.58,1994.0
Last Exile,7.78,2003.0
Mai-HiME,7.39,2004.0
Mai-Otome,7.27,2005.0
Shin Shirayuki-hime Densetsu Prétear,7.15,2001.0
Air,7.27,2005.0
Aishiteruze Baby★★,7.43,2004.0
Akazukin Chacha,7.41,1994.0
