title,score,year,year_quarter
Cowboy Bebop,8.75,1998.0,1998Q2
Cowboy Bebop: Tengoku no Tobira,8.38,2001.0,2001Q3
Trigun,8.22,1998.0,1998Q2
Witch Hunter Robin,7.23,2002.0,2002Q3
Bouken Ou Beet,6.92,2004.0,2004Q3
Eyeshield 21,7.91,2005.0,2005Q2
Hachimitsu to Clover,7.98,2005.0,2005Q2
Hungry Heart: Wild Striker,7.54,2002.0,2002Q3
Initial D Fourth Stage,8.17,2004.0,2004Q2
Monster,8.89,2004.0,2004Q2
Naruto,8.02,2002.0,2002Q4
One Piece,8.73,1999.0,1999Q4
Tennis no Oujisama,7.84,2001.0,2001Q4
Ring ni Kakero 1,6.36,2004.0,2004Q4
School Rumble,7.88,2004.0,2004Q4
Sunabouzu,7.36,2004.0,2004Q4
Texhnolyze,7.75,2003.0,2003Q2
Trinity Blood,7.28,2005.0,2005Q2
Yakitate!! Japan,7.91,2004.0,2004Q4
Zipang,7.49,2004.0,2004Q4
Shinseiki Evangelion,8.36,1995.0,1995Q4
Shinseiki Evangelion Movie: Shi to Shinsei,7.49,1997.0,1997Q1
"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",8.56,1997.0,1997Q3
Kenpuu Denki Berserk,8.61,1997.0,1997Q4
Koukaku Kidoutai,8.27,1995.0,1995Q4
Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,8.69,1999.0,1999Q1
Rurouni Kenshin: Meiji Kenkaku Romantan,8.28,1996.0,1996Q1
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55,1997.0,1997Q4
Akira,8.16,1988.0,1988Q3
.hack//Sign,6.94,2002.0,2002Q2
Aa! Megami-sama!,7.27,1993.0,1993Q1
Aa! Megami-sama! (TV),7.31,2005.0,2005Q1
Tenshi Kinryouku,6.23,2000.0,2000Q2
Kidou Tenshi Angelic Layer,7.26,2001.0,2001Q2
Ai Yori Aoshi,7.1,2002.0,2002Q2
Appleseed (Movie),7.05,2004.0,2004Q2
Arc the Lad,6.48,1999.0,1999Q2
Avenger,5.86,2003.0,2003Q4
Beck,8.29,2004.0,2004Q4
Blue Gender,7.01,1999.0,1999Q4
Chobits,7.39,2002.0,2002Q2
Chrno Crusade,7.59,2003.0,2003Q4
D.N.Angel,7.15,2003.0,2003Q2
D.C.: Da Capo,6.7,2003.0,2003Q3
DearS,6.54,2004.0,2004Q3
Rozen Maiden,7.4,2004.0,2004Q4
Rozen Maiden: Träumend,7.61,2005.0,2005Q4
Azumanga Daiou The Animation,8.07,2002.0,2002Q2
Basilisk: Kouga Ninpou Chou,7.53,2005.0,2005Q2
Black Cat,7.31,2005.0,2005Q4
Cluster Edge,6.31,2005.0,2005Q4
Full Metal Panic!,7.59,2002.0,2002Q1
Full Metal Panic? Fumoffu,8.01,2003.0,2003Q3
Full Metal Panic! The Second Raid,7.91,2005.0,2005Q3
Gakuen Alice,7.64,2004.0,2004Q4
Soukyuu no Fafner: Dead Aggressor,7.25,2004.0,2004Q3
Mahou Shoujo Lyrical Nanoha,7.41,2004.0,2004Q4
Mahou Shoujo Lyrical Nanoha A's,7.95,2005.0,2005Q4
Shuffle!,7.0,2005.0,2005Q3
Kidou Senshi Gundam,7.77,1979.0,1979Q2
Kidou Senshi Gundam: Dai 08 MS Shoutai,7.99,1996.0,1996Q1
Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,8.0,1989.0,1989Q1
Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,6.74,1998.0,1998Q3
Kidou Senshi Gundam 0083: Stardust Memory,7.21,1991.0,1991Q2
Kidou Senshi Zeta Gundam,7.89,1985.0,1985Q1
Kidou Senshi Gundam ZZ,6.68,1986.0,1986Q1
Kidou Senshi Gundam: Gyakushuu no Char,7.69,1988.0,1988Q1
Kidou Senshi Gundam F91,6.59,1991.0,1991Q1
Kidou Senshi Victory Gundam,6.71,1993.0,1993Q2
Shin Kidou Senki Gundam Wing,7.66,1995.0,1995Q2
Shin Kidou Senki Gundam Wing: Endless Waltz,7.73,1997.0,1997Q1
Kidou Shinseiki Gundam X,7.34,1996.0,1996Q2
Kidou Senshi Gundam SEED,7.73,2002.0,2002Q4
Kidou Senshi Gundam SEED Destiny,7.17,2004.0,2004Q4
Turn A Gundam,7.8,1999.0,1999Q2
Kidou Butouden G Gundam,7.58,1994.0,1994Q2
Last Exile,7.78,2003.0,2003Q2
Mai-HiME,7.39,2004.0,2004Q4
Mai-Otome,7.27,2005.0,2005Q4
Shin Shirayuki-hime Densetsu Prétear,7.15,2001.0,2001Q2
Air,7.27,2005.0,2005Q1
Aishiteruze Baby★★,7.43,2004.0,2004Q2
Akazukin Chacha,7.41,1994.0,1994Q1
Ayashi no Ceres,7.17,2000.0,2000Q2
Boys Be...,6.38,2000.0,2000Q2
Hana yori Dango,7.56,1996.0,1996Q3
Ou Dorobou Jing,7.17,2002.0,2002Q2
Ou Dorobou Jing in Seventh Heaven,7.23,2004.0,2004Q1
Bakuretsu Tenshi,6.77,2004.0,2004Q2
Chuuka Ichiban!,7.59,1997.0,1997Q2
Corrector Yui,6.87,1999.0,1999Q2
Chou Henshin Cosprayers,4.82,2004.0,2004Q1
Uchuu no Stellvia,7.32,2003.0,2003Q2
Sakigake!! Cromartie Koukou,7.88,2003.0,2003Q4
Ijigen no Sekai El-Hazard,6.76,1998.0,1998Q1
