year_quarter,anime_count,mean_score
1917Q1,3,5.54
1917Q2,5,5.48
1917Q3,5,5.49
1917Q4,4,5.715
1918Q1,7,5.504
1918Q3,2,
1922Q1,1,
1923Q1,1,
1924Q1,5,5.335
1925Q1,9,5.3475
1926Q1,6,5.092499999999999
1926Q4,1,4.96
1927Q1,2,4.68
1927Q2,2,5.38
1927Q4,1,4.96
1928Q1,5,5.0625
1928Q2,1,
1928Q3,3,5.403333333333333
1929Q1,5,5.073333333333333
1929Q2,1,5.38
1929Q4,1,5.89
1930Q1,5,5.34
1930Q2,2,4.75
1930Q4,1,4.88
1931Q1,17,4.8853333333333335
1931Q2,3,4.91
1931Q4,2,5.11
1932Q1,12,4.796
1932Q4,1,5.06
1933Q1,9,5.042222222222223
1933Q2,3,5.26
1933Q4,4,5.14
1934Q1,8,4.564
1934Q2,3,4.846666666666667
1934Q3,2,5.02
1934Q4,2,5.23
1935Q1,15,4.6875
1935Q2,1,4.98
1935Q3,2,5.67
1935Q4,2,3.96
1936Q1,10,4.811249999999999
1936Q2,1,5.08
1936Q4,1,4.94
1937Q1,1,5.13
1937Q4,1,
1938Q1,1,5.19
1938Q2,1,
1938Q4,1,4.98
1939Q1,3,4.995
1939Q3,1,5.24
1940Q1,2,5.09
1940Q2,1,5.53
1940Q3,1,4.73
1941Q1,5,5.206
1942Q1,4,4.69
1942Q3,2,4.71
1943Q1,1,4.86
1943Q2,1,5.65
1943Q3,1,
1943Q4,1,4.8
1944Q4,1,4.72
1945Q2,1,5.12
1946Q1,3,5.253333333333333
1947Q1,2,5.07
1947Q3,2,5.495
1948Q1,5,5.213333333333334
1948Q4,1,
1949Q2,1,
1949Q3,1,4.92
1949Q4,2,
1950Q1,3,5.154999999999999
1950Q4,1,
1951Q1,3,
1952Q1,3,5.345
1952Q4,1,5.07
1953Q1,3,
1953Q3,1,
1954Q1,5,4.79
1954Q2,1,5.38
1954Q4,1,5.01
1955Q1,6,5.78
1955Q4,2,
1956Q1,11,5.2625
1956Q2,1,5.64
1956Q3,1,6.2
1956Q4,1,
1957Q1,5,5.48
1957Q2,1,5.82
1957Q3,1,5.27
1957Q4,1,5.44
1958Q1,22,5.53
1958Q2,1,5.17
1958Q3,2,4.45
1958Q4,2,5.755
1959Q1,20,5.328333333333333
1959Q2,1,6.1
1959Q3,2,5.06
1959Q4,2,5.52
1960Q1,18,5.174285714285714
1960Q2,1,5.06
1960Q3,1,6.21
1960Q4,3,4.86
1961Q1,14,5.6066666666666665
1961Q2,6,5.329999999999999
1961Q3,3,5.26
1961Q4,7,
1962Q1,13,4.543333333333333
1962Q2,8,5.744999999999999
1962Q3,4,5.39
1962Q4,7,5.553333333333334
1963Q1,19,5.372
1963Q2,5,5.57
1963Q3,3,5.53
1963Q4,11,5.975
1964Q1,23,5.169
1964Q2,9,5.48
1964Q3,8,5.5600000000000005
1964Q4,6,5.0
1965Q1,21,5.332727272727272
1965Q2,11,5.668
1965Q3,3,6.1
1965Q4,9,5.8774999999999995
1966Q1,11,5.3425
1966Q2,11,5.506
1966Q3,5,5.7525
1966Q4,13,5.845
1967Q1,15,5.24
1967Q2,11,6.072857142857143
1967Q3,8,5.523333333333333
1967Q4,8,5.5625
1968Q1,19,5.498461538461539
1968Q2,9,6.288
1968Q3,8,5.76
1968Q4,14,5.4719999999999995
1969Q1,16,5.621111111111111
1969Q2,11,6.175
1969Q3,9,6.303333333333334
1969Q4,14,6.27
1970Q1,21,5.309285714285714
1970Q2,11,6.236666666666667
1970Q3,10,5.816666666666666
1970Q4,9,5.815
1971Q1,27,5.206
1971Q2,4,5.953333333333333
1971Q3,7,5.6475
1971Q4,13,6.0275
1972Q1,25,5.499333333333333
1972Q2,8,6.16
1972Q3,4,5.8575
1972Q4,13,6.2825
1973Q1,17,5.647777777777778
1973Q2,11,6.0575
1973Q3,3,5.65
1973Q4,11,6.255
1974Q1,20,5.496363636363636
1974Q2,15,5.828333333333333
1974Q3,6,6.226666666666667
1974Q4,12,6.191111111111111
1975Q1,22,5.082352941176471
1975Q2,11,6.35375
1975Q3,6,5.668
1975Q4,15,6.223571428571428
1976Q1,23,5.777894736842105
1976Q2,11,5.9990000000000006
1976Q3,9,5.882
1976Q4,17,6.216363636363636
1977Q1,23,5.827692307692308
1977Q2,9,6.172857142857143
1977Q3,11,6.024444444444445
1977Q4,20,6.3293333333333335
1978Q1,37,5.9825
1978Q2,12,6.76875
1978Q3,13,6.327272727272727
1978Q4,16,6.304615384615384
1979Q1,39,5.8035
1979Q2,19,6.298
1979Q3,21,6.0725
1979Q4,18,6.3306249999999995
1980Q1,56,6.009411764705882
1980Q2,18,6.093125
1980Q3,17,6.018666666666666
1980Q4,16,6.355833333333333
1981Q1,56,6.208125
1981Q2,15,6.5566666666666675
1981Q3,23,6.374736842105263
1981Q4,25,6.375555555555556
1982Q1,58,6.183333333333334
1982Q2,24,6.151666666666667
1982Q3,17,6.201875
1982Q4,27,5.996
1983Q1,52,6.09076923076923
1983Q2,27,6.251818181818181
1983Q3,27,5.9868
1983Q4,24,6.182
1984Q1,65,6.132162162162162
1984Q2,22,5.9929411764705875
1984Q3,28,5.975652173913043
1984Q4,26,5.848260869565217
1985Q1,70,5.888421052631578
1985Q2,26,5.8908695652173915
1985Q3,30,5.914642857142858
1985Q4,32,6.0519354838709685
1986Q1,59,6.251351351351351
1986Q2,31,6.000769230769231
1986Q3,36,5.8490625
1986Q4,36,6.09516129032258
1987Q1,80,5.862127659574468
1987Q2,36,6.056785714285715
1987Q3,30,6.000416666666666
1987Q4,54,6.048749999999999
1988Q1,85,6.278478260869565
1988Q2,43,6.201714285714286
1988Q3,34,6.19423076923077
1988Q4,43,6.134594594594594
1989Q1,82,6.017608695652174
1989Q2,42,6.260000000000001
1989Q3,41,6.091142857142857
1989Q4,69,5.961666666666667
1990Q1,87,5.874893617021277
1990Q2,54,5.985945945945946
1990Q3,48,5.953809523809523
1990Q4,50,5.983846153846154
1991Q1,77,5.964186046511627
1991Q2,57,6.017
1991Q3,51,6.056444444444445
1991Q4,52,6.097441860465116
1992Q1,77,5.9595
1992Q2,51,6.097297297297297
1992Q3,62,6.152962962962963
1992Q4,63,6.2074
1993Q1,73,6.355853658536585
1993Q2,48,6.186410256410257
1993Q3,49,6.131136363636363
1993Q4,60,6.439574468085107
1994Q1,66,6.159761904761904
1994Q2,47,6.442777777777778
1994Q3,61,6.1971428571428575
1994Q4,53,6.0672727272727265
1995Q1,65,6.383333333333334
1995Q2,65,6.458666666666667
1995Q3,42,6.264117647058823
1995Q4,58,6.527727272727272
1996Q1,80,6.199111111111111
1996Q2,55,6.337083333333333
1996Q3,52,6.198604651162791
1996Q4,52,6.140851063829787
1997Q1,92,6.16
1997Q2,51,6.394285714285714
1997Q3,52,6.284878048780488
1997Q4,52,6.15090909090909
1998Q1,98,5.977555555555556
1998Q2,67,6.48448275862069
1998Q3,52,6.251428571428572
1998Q4,66,6.23625
1999Q1,114,6.031014492753623
1999Q2,54,6.5440000000000005
1999Q3,73,6.141111111111111
1999Q4,66,6.546153846153846
2000Q1,94,6.077058823529412
2000Q2,64,6.316078431372549
2000Q3,56,6.196170212765958
2000Q4,79,6.204090909090909
2001Q1,110,6.077042253521127
2001Q2,95,6.333333333333333
2001Q3,96,6.091309523809524
2001Q4,119,5.991743119266055
2002Q1,144,6.0578125
2002Q2,94,6.178536585365854
2002Q3,79,6.215
2002Q4,91,6.375696202531645
2003Q1,148,5.895849056603774
2003Q2,96,6.335340909090909
2003Q3,87,6.21
2003Q4,98,6.460357142857142
2004Q1,149,6.027009345794393
2004Q2,111,6.478421052631579
2004Q3,80,6.381971830985916
2004Q4,96,6.417701149425287
2005Q1,189,6.06156862745098
2005Q2,97,6.5321428571428575
2005Q3,95,6.520126582278482
2005Q4,120,6.604807692307692
2006Q1,182,6.175916666666667
2006Q2,130,6.6005309734513276
2006Q3,127,6.3843137254901965
2006Q4,121,6.654313725490196
2007Q1,192,6.347619047619047
2007Q2,147,6.613524590163935
2007Q3,106,6.586511627906978
2007Q4,129,6.7092307692307696
2008Q1,232,6.244461538461538
2008Q2,127,6.7188888888888885
2008Q3,117,6.6924
2008Q4,130,6.6514423076923075
2009Q1,231,6.298429752066116
2009Q2,155,6.58171875
2009Q3,157,6.406283185840707
2009Q4,169,6.4991666666666665
2010Q1,287,6.262535211267606
2010Q2,164,6.572773109243697
2010Q3,163,6.312835820895522
2010Q4,168,6.534135338345864
2011Q1,334,6.1595402298850574
2011Q2,200,6.549602649006623
2011Q3,193,6.429154929577465
2011Q4,199,6.422236842105263
2012Q1,350,6.146030927835051
2012Q2,194,6.451372549019608
2012Q3,214,6.4559627329192555
2012Q4,223,6.468938547486034
2013Q1,298,6.242743902439024
2013Q2,218,6.324503311258278
2013Q3,235,6.378918918918918
2013Q4,236,6.572303370786516
2014Q1,352,6.307511737089202
2014Q2,245,6.335947368421052
2014Q3,237,6.47
2014Q4,260,6.457586206896552
2015Q1,333,6.323435582822086
2015Q2,227,6.510235294117647
2015Q3,266,6.3822777777777775
2015Q4,278,6.3961860465116285
2016Q1,353,6.353830845771144
2016Q2,283,6.358431372549019
2016Q3,279,6.462538860103627
2016Q4,325,6.387016129032258
2017Q1,374,6.305645933014355
2017Q2,281,6.338995215311004
2017Q3,308,6.480975609756097
2017Q4,298,6.338035714285715
2018Q1,372,6.417439613526571
2018Q2,264,6.440659898477157
2018Q3,294,6.423239436619719
2018Q4,294,6.409348837209302
2019Q1,423,6.42215
2019Q2,257,6.458674033149171
2019Q3,272,6.483655913978494
2019Q4,285,6.5852791878172585
2020Q1,364,6.486190476190477
2020Q2,242,6.530736196319018
2020Q3,278,6.503259668508287
2020Q4,312,6.571401869158878
2021Q1,359,6.509818181818182
2021Q2,268,6.693298969072165
2021Q3,313,6.608281938325991
2021Q4,317,6.683504672897196
2022Q1,333,6.528663594470046
2022Q2,294,6.606875
2022Q3,325,6.713155555555556
2022Q4,303,6.746417910447761
2023Q1,317,6.7057281553398065
2023Q2,273,6.725530726256983
2023Q3,307,6.8118905472636815
2023Q4,333,6.822205882352941
2024Q1,292,6.755548780487805
2024Q2,269,6.870170454545455
2024Q3,304,6.829714285714286
2024Q4,302,6.846741573033708
2025Q1,261,6.761862068965518
2025Q2,259,6.845434782608695
2025Q3,269,6.918951048951048
2025Q4,259,6.852990654205607
2026Q1,243,
2026Q2,61,
2026Q3,9,
2026Q4,13,
2027Q1,18,
2027Q2,2,
