quarter,industry_value
1962Q1,166424631.49
1962Q2,119112691.91
1962Q3,114103170.67
1962Q4,128992481.63
1963Q1,155364764.76
1963Q2,173137308.81
1963Q3,192056024.5
1963Q4,181163968.72
1964Q1,200655750.29
1964Q2,180017810.37
1964Q3,213268825.99
1964Q4,208682410.2
1965Q1,246519814.99
1965Q2,219001386.81
1965Q3,229322145.81
1965Q4,271745966.38
1966Q1,243081366.55
1966Q2,244227524.9
1966Q3,206388311.12
1966Q4,363474095.79
1967Q1,403605599.67
1967Q2,456350165.94
1967Q3,458642482.63
1967Q4,506800659.72
1968Q1,384113831.4
1968Q2,577889080.12
1968Q3,678791823.48
1968Q4,779692757.85
1969Q1,729242317.27
1969Q2,687964601.84
1969Q3,880593745.42
1969Q4,1229162408.92
1970Q1,1352995395.59
1970Q2,1076663119.84
1970Q3,1081249455.81
1970Q4,1296812354.28
1971Q1,1852915487.24
1971Q2,2091410491.22
1971Q3,1988215590.78
1971Q4,2522534585.57
1972Q1,2916967353.68
1972Q2,3421473887.71
1972Q3,3270120756.97
1972Q4,4343345295.36
1973Q1,3430646772.48
1973Q2,2816064557.11
1973Q3,2903208132.93
1973Q4,1733669049.36
1974Q1,1797878604.27
1974Q2,1586903957.18
1974Q3,793451978.59
1974Q4,784279200.24
1975Q1,1669459281.63
1975Q2,1852915487.24
1975Q3,1619008841.05
1975Q4,1829983594.55
1976Q1,2229002698.63
1976Q2,2077651270.48
1976Q3,1756601048.46
1976Q4,1733669049.36
1977Q1,1275026513.53
1977Q2,1352995395.59
1977Q3,1449309940.78
1977Q4,1467655603.9
1978Q1,1187884746.7
1978Q2,1467655603.9
1978Q3,1563971958.09
1978Q4,1472242046.29
1979Q1,1440137162.42
1979Q2,1238335293.69
1979Q3,1476828382.26
1979Q4,1646527282.53
1980Q1,1632768061.79
1980Q2,1761187490.85
1980Q3,1733669049.36
1980Q4,1880433928.72
1981Q1,2242761919.37
1981Q2,2325317243.82
1981Q3,1715323386.24
1981Q4,1917125254.97
1982Q1,1944643696.45
1982Q2,2155620258.95
1982Q3,2077651270.48
1982Q4,2320730907.84
1983Q1,2802305336.37
1983Q2,2485843259.32
1983Q3,2274866909.65
1983Q4,1935470811.69
1984Q1,2453738481.87
1984Q2,1738255385.34
1984Q3,2160206594.92
1984Q4,2196897921.17
1985Q1,2889448912.19
1985Q2,3444405993.22
1985Q3,3077491666.6
1985Q4,4141541830.45
1986Q1,5503711706.98
1986Q2,8035417261.91
1986Q3,5797241891.34
1986Q4,6329266654.03
1987Q1,9154506224.14
1987Q2,10603815632.86
1987Q3,11374336250.82
1987Q4,8695863262.66
