Year,Toei Animation,Bandai Namco Holdings,Kadokawa Corporation,Avex Group (Anime Music / Production),Bushiroad (Media Mix / Anime IP),TV Tokyo Holdings,Fuji Media Holdings,Nippon TV Holdings (Owns Studio Ghibli),Tokyo Broadcasting System (TBS),Asahi Broadcasting Group,WOWOW (Anime channel),Kadokawa Pictures (covered by Kadokawa),Happinet (anime distributor),Square Enix Holdings,Media Do (digital manga),Takara Tomy,Pony Canyon,Netflix (Anime Production),Amazon (Anime Licensing),Disney (Anime streaming),Rakuten (Rakuten TV),Sega Sammy Holdings,Konami Group,Capcom,Koei Tecmo,SoftBank Group,LINE Yahoo Japan (Z Holdings),GREE (anime mobile games),DeNA (anime mobile games),TotalValue_USD
1962,,,,,,,,,,,,,,,,,,,,128992481.63,,,,,,,,,,128992481.63
1963,,,,,,,,,,,,,,,,,,,,181163968.72,,,,,,,,,,181163968.72
1964,,,,,,,,,,,,,,,,,,,,208682410.20,,,,,,,,,,208682410.20
1965,,,,,,,,,,,,,,,,,,,,271745966.38,,,,,,,,,,271745966.38
1966,,,,,,,,,,,,,,,,,,,,363474095.79,,,,,,,,,,363474095.79
1967,,,,,,,,,,,,,,,,,,,,506800659.72,,,,,,,,,,506800659.72
1968,,,,,,,,,,,,,,,,,,,,779692757.85,,,,,,,,,,779692757.85
1969,,,,,,,,,,,,,,,,,,,,1229162408.92,,,,,,,,,,1229162408.92
1970,,,,,,,,,,,,,,,,,,,,1296812354.28,,,,,,,,,,1296812354.28
1971,,,,,,,,,,,,,,,,,,,,2522534585.57,,,,,,,,,,2522534585.57
1972,,,,,,,,,,,,,,,,,,,,4343345295.36,,,,,,,,,,4343345295.36
1973,,,,,,,,,,,,,,,,,,,,1733669049.36,,,,,,,,,,1733669049.36
1974,,,,,,,,,,,,,,,,,,,,784279200.24,,,,,,,,,,784279200.24
1975,,,,,,,,,,,,,,,,,,,,1829983594.55,,,,,,,,,,1829983594.55
1976,,,,,,,,,,,,,,,,,,,,1733669049.36,,,,,,,,,,1733669049.36
1977,,,,,,,,,,,,,,,,,,,,1467655603.90,,,,,,,,,,1467655603.90
1978,,,,,,,,,,,,,,,,,,,,1472242046.29,,,,,,,,,,1472242046.29
1979,,,,,,,,,,,,,,,,,,,,1646527282.53,,,,,,,,,,1646527282.53
1980,,,,,,,,,,,,,,,,,,,,1880433928.72,,,,,,,,,,1880433928.72
1981,,,,,,,,,,,,,,,,,,,,1917125254.97,,,,,,,,,,1917125254.97
1982,,,,,,,,,,,,,,,,,,,,2320730907.84,,,,,,,,,,2320730907.84
1983,,,,,,,,,,,,,,,,,,,,1935470811.69,,,,,,,,,,1935470811.69
1984,,,,,,,,,,,,,,,,,,,,2196897921.17,,,,,,,,,,2196897921.17
1985,,,,,,,,,,,,,,,,,,,,4141541830.45,,,,,,,,,,4141541830.45
1986,,,,,,,,,,,,,,,,,,,,6329266654.03,,,,,,,,,,6329266654.03
1987,,,,,,,,,,,,,,,,,,,,8695863262.66,,,,,,,,,,8695863262.66
1988,,,,,,,,,,,,,,,,,,,,9649839873.40,,,,,,,,,,9649839873.40
1989,,,,,,,,,,,,,,,,,,,,16437748211.98,,,,,,,,,,16437748211.98
1990,,,,,,,,,,,,,,,,,,,,14896710381.22,,,,,,,,,,14896710381.22
1991,,,,,,,,,,,,,,,,,,,,16804663602.72,,,,,,,,,,16804663602.72
1992,,,,,,,,,,,,,,,,,,,,25243686943.15,,,,,,,,,,25243686943.15
1993,,,,,,,,,,,,,,,,,,,,25023539411.29,,,,,,,,,,25023539411.29
1994,,,,,,,,,,,,,,,,,,,,27004874008.35,,,,,,,,,,27004874008.35
1995,,,,,,,,,,,,,,,,,,,,34563305518.77,,,,,,,,,,34563305518.77
1996,,,,,,,,,,,,,,,,,,,,40947607778.82,,,,,,,,,,40947607778.82
1997,,,,,,,,,,,,,,,,,,,2683693297.63,58119186772.28,,,,,,,,,,60802880069.91
1998,,,,,,,,,,,,,,,,,,,28618595714.45,52835622171.51,,,,,,,,,,81454217885.96
1999,,,,,,,,,,,,,,,,,,,40689635711.37,51514733575.19,,,,,,,,,,92204369286.56
